,FL,Ins,CgG,HiF,PHG,OL,PL,TL,Amg,BF,GP,Str,Cl,ET,Hy,SbT,DT,VT,MES,CbCx,CbN,Bpons,PTg,MY,WM,SS,,,frontal lobe,FL
TRMT2B,"-0,5925","-0,6766","-0,6945","-0,339","-0,8474","0,6184","-0,042","-0,5819","0,3119","1,6174","0,3076","-0,8603","1,3267","0,8609","-2,4699","1,0033","-0,3922","1,2546","0,4706","-1,7961","0,0233","-1,0533","0,503","0,5992","1,4489",,,,,
TRMT2B,"0,7743","0,6489","0,7799","-1,1676","0,8513","2,103","1,5106","0,8951","-0,7204","-0,7386","0,6829","0,151","-1,6343","-1,7477","-1,4917","0,4245","-0,695","0,7999","-0,5488","-0,7991","-0,9642","0,7343","0,1179","-0,5061","0,5398",,,,,
TRMT2B,"0,0058","-0,134","0,2172","-0,3677","-0,1817","0,5012","0,5639","0,3003","0,3547","0,1932","0,9166","0,0452","-0,0708","-2,8157","-0,4946","0,3461","0,9281","1,0665","-0,7236","-0,8901","-2,8762","1,3661","0,1463","0,4733","-0,2915",,,,,
TRMT2B,"1,4215","-0,1145","0,4531","0,3206","-1,0681","0,9201","1,0262","0,8474","-0,3057","0,271","-0,6489","1,5177","-0,2912","0,0284","0,5182","-1,5471","1,4332","-0,7358","-0,3383","-0,2337","-3,3841","0,0653","0,4602","0,3423","1,2024","-0,4491",,,,
TRMT2B,"-0,2893","0,8557","0,4502","0,5379","-1,9844","0,8945","1,4251","1,8662","0,9295","-0,7118","-0,6972","-0,1087","-0,0694","-0,8171",,"-1,0732","0,2072","-1,224","-0,6508","-0,5037","-1,1563","-0,5823","1,8389","-0,3697","1,1694","-0,2261",,,,
TRMT2B,"0,333","-0,4335","0,1741","-0,7776","-0,1217","0,686","0,4207","0,0066","-0,4451","-0,5279","1,3845","-0,4846","1,961","-0,1978","-1,0226","1,9487","-0,8085","1,3951","0,2278","-2,8001","-1,2943","0,1341","-0,4737","0,0012","-0,0799","0,7944",,,,
,"0,1694","-0,12425","0,3337","-0,35335","-0,51455","0,79025","0,79505","0,57385","0,0031","-0,16735","0,49525","-0,03175","-0,0701","-0,50745","-1,0226","0,3853","-0,0925","0,9332","-0,44355","-0,8446","-1,2253","0,0997","0,30325","0,17175","0,8546","-0,2261",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM35,"-0,5545","-0,5774","-0,5929","0,8499","-0,5502","-0,375","-0,3381","-0,5196","0,8803","0,9442","-0,7688","-0,5658","0,8961","-2,2977","0,4471","1,1581","0,0444","1,0341","0,8094","0,0042","0,7067","0,8135","0,9413","0,4828","-2,8722",,,,,
TMEM35,"-0,2937","-0,2135","-0,0855","0,9298","-0,1978","0,3622","0,1224","-0,0954","0,5205","1,3085","-0,6825","-0,0283","0,406","-2,2644","1,1008","0,8928","0,4988","0,4184","0,2599","-1,0212","-0,6474","0,7561","0,6702","0,5637","-3,2802",,,,,
TMEM35,"-0,0791","0,0852","0,1601","0,8531","0,1513","0,0241","0,0749","-0,0246","0,7406","0,6652","-0,2228","-0,1528","0,2542","-0,3461","0,5491","0,4554","0,7272","0,1021","0,5977","-0,1175","-0,4486","1,0895","0,5808","0,558","-2,5065",,,,,
TMEM35,"-3,7705","-0,0704","-0,0051","0,0665","0,6931","0,2467","0,1762","0,0656","-0,0882","0,0801","0,3795","0,1333","-0,2896","-0,2035","-0,1285","0,3883","0,769","0,5079","0,0736","0,8142","0,141","-0,2097","1,1039","0,8052","0,8842","-2,5922",,,,
TMEM35,"-3,7411","-0,2579","-0,2226","-0,1621","0,5146","-0,2551","-0,1238","-0,1374","-0,2707","0,3062","0,8011","-0,6927","-0,2363","-0,3609",,"0,973","0,4192","0,358","0,4333","0,2384","-0,369","0,4245","1,0313","0,858","0,9212","-4,1903",,,,
TMEM35,"0,2759","0,1672","0,1401","0,2865","-0,2823","0,2014","0,3075","0,1718","0,2135","0,5605","-0,5231","-0,107","0,6388","-0,1219","0,8653","0,7706","0,4382","0,3986","0,5137","0,2351","0,036","0,4534","0,4266","0,4097","-2,5513","-3,9248",,,,
,"-0,4241","-0,14195","-0,0453","0,5682","-0,02325","0,11275","0,09865","-0,06","0,367","0,61285","-0,37295","-0,1299","0,3301","-0,3535","0,5491","0,8317","0,4685","0,4085","0,4735","0,11965","-0,1665","0,60475","0,80575","0,56085","-2,5289","-3,9248",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDK19,"-0,6157","-0,7274","-0,4466","0,0933","-0,2943","0,273","-0,238","-0,4045","0,2058","0,8204","1,4232","0,5582","0,455","-1,2851","-1,5588","-0,4648","-0,0703","1,2865","-0,5024","0,0328","0,2221","-1,435","-0,8126","0,1318","3,3535",,,,,
CDK19,"-0,2224","-0,9101","-0,7714","-1,2355","-0,2373","-0,2447","-0,3965","-0,2854","0,0593","0,263","1,8492","0,7119","0,4537","-2,0751","-1,0915","0,1312","-0,3418","2,2528","0,3524","-0,7932","0,6794","-0,7434","0,4317","-0,0227","2,1863",,,,,
CDK19,"-0,825","-0,4281","-0,2354","-0,4202","-0,7128","0,2532","-0,2988","-0,259","0,0481","0,4116","1,7869","1,2049","0,4457","-0,2834","-1,2799","0,4708","-0,0813","1,4516","0,0623","-0,936","-0,4183","-0,4966","-0,1154","0,6771","2,5709",,,,,
CDK19,"-2,593","-0,7784","-0,625","-0,694","-0,9742","-0,215","-0,0433","-0,4304","-0,9168","-0,0025","-0,1763","2,1113","0,7388","0,6837","-0,4415","-1,2884","0,7899","-0,1707","1,6167","0,3741","-0,266","0,6958","0,2398","0,1343","0,5215","1,8434",,,,
CDK19,"-2,7267","-0,2273","-0,1694","-0,2004","-1,1144","0,2788","0,077","0,0136","0,179","-1,0534","-0,0266","1,3306","0,7015","-0,5148",,"-0,7373","-0,3902","-0,5121","1,2006","0,1131","-0,2366","0,0188","-1,645","-0,4696","-0,2779","3,6621",,,,
CDK19,"-0,599","-0,9035","-0,5194","-0,7361","-0,3383","-0,1414","-0,7116","-0,4126","-0,465","-0,2399","2,0034","0,4524","0,835","0,975","-1,2602","0,8388","-0,0702","1,6018","0,0463","-0,8872","0,8393","-0,9514","-0,1186","0,6459","2,2219","-2,1055",,,,
,"-0,72035","-0,7529","-0,483","-0,5571","-0,52555","0,0559","-0,2684","-0,34495","0,0537","0,13025","1,60505","0,9584","0,57825","-0,3991","-1,2602","-0,1668","-0,0758","1,36905","0,20735","-0,3802","-0,00725","-0,62","-0,117","0,13305","2,2041","1,8434",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITCH,"-1,0538","-1,3545","-1,0153","0,4963","-0,7766","-0,37","-0,7598","-1,1388","0,6753","0,5595","0,3926","-0,7702","0,992","-0,2627","-0,6877","1,1762","0,4106","1,6117","0,2397","-1,4933","1,258","-0,999","-0,1513","0,6396","2,3815",,,,,
ITCH,"-0,6865","-1,1066","-0,9733","-0,4184","-0,6449","-0,7901","-0,6787","-0,8161","-0,2447","-0,0508","1,4052","-0,425","0,8462","-1,1908","-0,4626","0,6839","0,2273","2,3982","0,687","-1,815","1,4573","-0,293","0,7753","0,6326","1,4835",,,,,
ITCH,"-1,3501","-1,1647","-1,0191","0,2403","-1,2671","-0,9295","-1,1282","-1,2093","-0,0451","-0,0848","1,0064","-0,5168","0,7638","0,137","-0,7889","1,2816","0,3801","1,417","0,4666","-1,9868","1,0362","0,4458","0,8976","1,0314","1,3608",,,,,
ITCH,"1,0258","-1,293","-1,1554","-1,2754","-0,4785","-0,8074","-0,922","-1,1357","-1,5281","0,1199","0,3261","1,6005","-0,2891","0,9718","-0,2279","-0,1852","1,1892","0,0944","1,5377","0,4425","-1,6661","1,8279","0,4716","0,308","0,8405","1,0223",,,,
ITCH,"0,2113","-0,7109","-0,7848","-0,7229","-0,2991","-0,6231","-0,9013","-0,6845","-0,6517","-1,1194","-0,139","1,1581","-0,8785","-0,2962",,"-0,0991","0,676","0,1934","1,4784","0,7891","-1,7515","1,518","-0,3549","0,9722","0,6881","2,5437",,,,
ITCH,"-0,6388","-1,1619","-0,7166","-0,1709","-0,7768","-0,5325","-0,8146","-0,6993","-0,794","-0,6093","1,7958","-0,6626","0,6668","0,1623","-1,3917","1,3577","0,2054","1,6794","0,2155","-1,8632","1,4371","-0,0911","0,5522","1,1258","1,6463","0,0791",,,,
,"-0,66265","-1,1633","-0,9943","-0,29465","-0,71075","-0,7066","-0,85795","-0,9759","-0,4482","-0,0678","0,6995","-0,4709","0,7153","-0,06285","-0,6877","0,93005","0,39535","1,51435","0,5768","-1,65415","1,1471","0,17735","0,5119","0,8059","1,42215","1,0223",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOX21,"-1,2854","-1,3703","-0,7357","0,5787","-0,7267","-0,611","-1,1314","-1,1464","0,7185","0,5243","-0,456","0,25","2,2469","-0,9068","0,5212","0,4796","0,4684","0,5768","0,6922","-1,5375","0,5731","1,4448","0,879","1,2178","-1,2639",,,,,
SOX21,"-1,3078","-1,4617","-1,3978","0,4342","-0,7058","-1,0271","-1,0462","-1,0956","0,6238","0,5826","-0,0269","-0,3663","-0,0504","0,5853","1,2854","0,937","0,5189","1,0082","1,0635","-1,0831","1,5626","0,6588","1,0141","1,0039","-1,7095",,,,,
SOX21,"-0,6029","-0,6812","0,3125","-0,0415","0,0065","-0,031","-0,1198","-0,4793","0,4904","1,0366","0,147","-0,8178","-0,4747","1,3104","0,7016","0,2607","-0,2855","0,1228","0,8843","-2,8543","1,562","0,6447","1,1967","1,0099","-1,1249",,,,,
SOX21,"-2,1729","-1,3689","-1,5968","-0,9126","0,6285","-1,0334","-0,6811","-0,9807","-1,1189","1,906","1,348","0,1608","0,4554","0,5892","0,439","1,3604","0,4824","0,5632","0,1237","1,1096","-2,1199","0,2545","0,3358","0,3535","0,7655","-1,1581",,,,
SOX21,"0,095","-0,5764","0,2005","-0,4287","-0,0792","-0,1859","-0,7129","-0,501","-0,5509","0,9519","1,1321","-1,0007","-0,2439","1,1256",,"1,024","-0,0212","0,5396","0,2263","1,5193","-2,8616","-0,6838","0,3398","1,5022","0,8344","-1,5493",,,,
SOX21,"-1,3578","-1,4673","-0,7397","0,4686","-0,1984","-1,2002","-1,5168","-1,2441","0,334","0,773","0,096","0,1945","0,8976","2,0281","0,4605","1,0201","0,6358","0,8484","0,7625","-2,2483","0,7546","0,1636","0,5089","0,9039","-0,7244","-0,1532",,,,
,"-1,2966","-1,3696","-0,7377","0,19635","-0,1388","-0,81905","-0,87955","-1,03815","0,4122","0,86245","0,1215","-0,10275","0,2025","0,8574","0,5212","0,97855","0,4754","0,57","0,72735","-1,3103","0,66385","0,4496","0,69395","1,0069","-0,92465","-1,1581",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC22A16,"-0,5864","-0,9542","1,0282","-0,8173","0,2296","-0,9529","-0,7001","-0,446","0,1492","-1,5378","-0,0762","-0,808","-1,3917","0,7261","2,8082","-0,4268","0,2227","1,3902","1,2103","-0,0967","-0,6836","0,6456","0,7629","1,1072","-0,8026",,,,,
SLC22A16,"-0,504","-1,1627","0,693","-0,3995","-1,1197","-0,0817","0,1993","-0,0126","0,538","1,6948","-1,0839","-0,6927","-0,2428","-1,2064","0,0644","1,4928","0,4766","-0,249","2,0462","1,4378","1,5709","-0,2686","-1,3776","-0,5404","-1,2718",,,,,
SLC22A16,"-0,4161","-0,4958","-0,5064","-0,5995","-0,697","-0,3935","-0,3353","-0,3938","-0,2247","-0,3779","-0,6151","-0,4689","0,4005","2,0624","-0,2358","-0,5948","0,2813","0,7374","-0,3162","-0,586","-0,4739","1,3872","-0,4723","0,3069","3,786",,,,,
